Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2003","2003","3050","FAO TIER 1","kt","50.1224","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2004","2004","3050","FAO TIER 1","kt","48.5622","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2005","2005","3050","FAO TIER 1","kt","48.3223","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2006","2006","3050","FAO TIER 1","kt","49.9766","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2007","2007","3050","FAO TIER 1","kt","48.0928","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2008","2008","3050","FAO TIER 1","kt","48.3957","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2009","2009","3050","FAO TIER 1","kt","50.4981","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2010","2010","3050","FAO TIER 1","kt","48.2749","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2011","2011","3050","FAO TIER 1","kt","100.2622","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2012","2012","3050","FAO TIER 1","kt","250.8459","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2013","2013","3050","FAO TIER 1","kt","165.6454","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2014","2014","3050","FAO TIER 1","kt","113.1437","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2015","2015","3050","FAO TIER 1","kt","173.8267","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2016","2016","3050","FAO TIER 1","kt","438.4112","E","Estimated value",""
