zone,year,month,soil_moisture_m3m3
North West,2015,7,0.23515579069767442
North West,2015,8,0.28351938862559245
North West,2015,9,0.277346875
North West,2015,10,0.19721411059907834
North West,2015,11,0.12456502857142858
North West,2015,12,0.0989943594470046
North West,2016,1,0.08538137037037037
North West,2016,2,0.08232827227722772
North West,2016,3,0.09144909722222223
North West,2016,4,0.10583331428571428
North West,2016,5,0.15847581860465118
North West,2016,6,0.21555861057692308
North West,2016,7,0.2572941553398058
North West,2016,8,0.2869854976076555
North West,2016,9,0.27126304347826086
North West,2016,10,0.17436011520737327
North West,2016,11,0.11334695238095238
North West,2016,12,0.08875584331797234
North West,2017,1,0.0838100460829493
North West,2017,2,0.08045957142857142
North West,2017,3,0.07773586893203883
North West,2017,4,0.08697070813397129
North West,2017,5,0.15401384651162792
North West,2017,6,0.22579294736842104
North West,2017,7,0.2618815
North West,2017,8,0.2808639014084507
North West,2017,9,0.25646113106796115
North West,2017,10,0.16595201843317975
North West,2017,11,0.1058805142857143
North West,2017,12,0.08802992626728111
North West,2018,1,0.08169553917050691
North West,2018,2,0.08031489285714286
North West,2018,3,0.07231173831775702
North West,2018,4,0.08437218571428572
North West,2018,5,0.14686656279069768
North West,2018,6,0.2111651268292683
North West,2018,7,0.26237859154929577
North West,2018,8,0.28404558685446013
North West,2018,9,0.2757663913043478
North West,2018,10,0.20661924074074076
North West,2018,11,0.12393096666666667
North West,2018,12,0.09745724537037036
North West,2019,1,0.08549310599078341
North West,2019,2,0.08099648979591836
North West,2019,3,0.07841690783410138
North West,2019,4,0.07901619806763284
North West,2019,5,0.15681199537037038
North West,2019,6,0.2239498076923077
North West,2019,7,0.25707203317535543
North West,2019,8,0.28535577314814814
North West,2019,9,0.26288342583732055
North West,2019,10,0.24356530414746544
North West,2019,11,0.15007360476190476
North West,2019,12,0.10549710648148149
North West,2020,1,0.09019681566820276
North West,2020,2,0.08436610344827586
North West,2020,3,0.08278692558139535
North West,2020,4,0.09467306190476191
North West,2020,5,0.14034490697674418
North West,2020,6,0.1963323238095238
North West,2020,7,0.2603211261682243
North West,2020,8,0.29053011267605633
North West,2020,9,0.28806565714285715
North West,2020,10,0.22235575
North West,2020,11,0.14284185238095237
North West,2020,12,0.10152153917050691
North West,2021,1,0.08547316129032258
North West,2021,2,0.08216485714285715
North West,2021,3,0.08305439622641508
North West,2021,4,0.08758375480769232
North West,2021,5,0.12911829493087557
North West,2021,6,0.18413429523809524
North West,2021,7,0.2456371023255814
North West,2021,8,0.2842760462962963
North West,2021,9,0.2719652057416268
North West,2021,10,0.18535844239631338
North West,2021,11,0.1155077761904762
North West,2021,12,0.093262866359447
North West,2022,1,0.084824125
North West,2022,2,0.0807684587628866
North West,2022,3,0.0795023514851485
North West,2022,4,0.10382525238095237
North West,2022,5,0.13649499537037035
North West,2022,6,0.20559369417475726
North West,2022,7,0.26334289351851853
North West,2022,8,0.2963577488372093
North West,2022,9,0.29324066028708135
North West,2022,10,0.21340569585253455
North West,2022,11,0.13646985238095238
North West,2022,12,0.10418978341013825
North West,2023,1,0.09048006018518519
North West,2023,2,0.08425101041666666
North West,2023,3,0.09040042253521126
North West,2023,4,0.10268543333333333
North West,2023,5,0.14408283870967742
North West,2023,6,0.22253827272727275
North West,2023,7,0.25206043255813954
North West,2023,8,0.2847496851851852
North West,2023,9,0.2687328803827751
North West,2023,10,0.18934598617511522
North West,2023,11,0.1279305380952381
North West,2023,12,0.09611655760368663
South East,2000,1,0.22343911428571428
South East,2000,2,0.19653254545454546
South East,2000,3,0.2693085535714286
South East,2000,4,0.29576507692307696
South East,2000,5,0.32278773529411764
South East,2000,6,0.33890973770491806
South East,2000,7,0.3370225744680851
South East,2000,8,0.346579431372549
South East,2000,9,0.3445566382978723
South East,2000,10,0.34432701818181816
South East,2000,11,0.2883159836065574
South East,2000,12,0.24324376086956523
South East,2001,1,0.20938325
South East,2001,2,0.24604426666666665
South East,2001,3,0.29536519607843137
South East,2001,4,0.32352169354838706
South East,2001,5,0.3554403404255319
South East,2001,6,0.3471414375
South East,2001,7,0.33685314893617024
South East,2001,8,0.3568105952380953
South East,2001,9,0.3558855744680851
South East,2001,10,0.3428479
South East,2001,11,0.2772444102564103
South East,2001,12,0.24308005882352943
South East,2002,1,0.21591458620689657
South East,2002,2,0.2474571875
South East,2002,3,0.2944698275862069
South East,2002,4,0.3199583125
South East,2002,5,0.3222118275862069
South East,2002,6,0.3391018666666667
South East,2002,7,0.33554188405797103
South East,2002,8,0.34946224528301884
South East,2002,9,0.3486982459016394
South East,2002,10,0.3423607142857143
South East,2002,11,0.3115736951219512
South East,2002,12,0.251722301369863
South East,2003,1,0.24618859999999998
South East,2003,2,0.2479877090909091
South East,2003,3,0.2673221230769231
