PRECTOTCORR_MayAug,Yield_kg_per_ha
723.0899999999999,4497.163134459852
723.0899999999999,1936.554698446014
723.0899999999999,2364.5980125699016
723.0899999999999,9682.887099679714
818.97,6742.65761828328
818.97,1812.4621058012988
818.97,2630.107241314794
818.97,8045.63020350465
688.09,11874.004422935694
688.09,1330.015093332633
688.09,2765.649269391612
688.09,9310.94490502348
1135.7025,7001.634415355326
1135.7025,1229.0339255778424
1135.7025,2935.7608079183824
1135.7025,6499.122135890978
1156.4525,12140.770280361976
1156.4525,1706.3943844357102
1156.4525,2749.7421134653528
1156.4525,6844.873192715994
885.8,8008.494972249613
885.8,2105.0799777956568
885.8,2963.332343386811
885.8,11002.42081158989
734.245,4165.220055845253
734.245,1577.0711646956447
734.245,2756.610727950745
734.245,9785.78388200416
968.19,6814.408044844372
968.19,1813.8618827442897
968.19,2866.989123708851
968.19,8080.529187124931
750.7625,12097.102921253656
750.7625,1349.583198195002
750.7625,2832.4477180575923
750.7625,8511.217041339609
1481.12,7319.059776476636
1481.12,1267.5627519189554
1481.12,2808.539776155611
1481.12,6179.2057630578265
838.2774999999999,12650.300492966102
838.2774999999999,1397.5506862818054
838.2774999999999,2825.787959139906
838.2774999999999,6533.313282646049
1325.5449999999998,5884.593115866352
1325.5449999999998,2391.2995843253434
1325.5449999999998,2029.805148851373
1325.5449999999998,11841.196883869085
920.5350000000001,5076.885395081997
920.5350000000001,1744.448086334211
920.5350000000001,1702.7177072777022
920.5350000000001,9891.549244075624
1001.6599999999999,4227.566869768606
1001.6599999999999,1942.1207268628232
1001.6599999999999,1873.4658796027743
1001.6599999999999,9702.374081381762
1142.595,8705.689275358392
1142.595,1810.4375432689144
1142.595,1856.8201276733605
1142.595,8200.852637200764
1923.2999999999997,5535.002990085021
1923.2999999999997,1781.200617896485
1923.2999999999997,1810.9560901366085
1923.2999999999997,5886.528045668193
1076.425,8949.64054953864
1076.425,1939.6706065555936
1076.425,1752.2869972945143
1076.425,7144.491846376251
1470.7225,5721.033256248551
1470.7225,2447.461970417434
1470.7225,2165.303261328911
1470.7225,11359.888330802278
933.7275000000001,4606.164788044129
933.7275000000001,1949.1994040389843
933.7275000000001,1768.0561624066486
933.7275000000001,9070.279473552731
1254.4250000000002,5488.972871953924
1254.4250000000002,2157.0549129575056
1254.4250000000002,2217.118786386623
1254.4250000000002,9506.208509281794
1388.4900000000002,8611.234974794783
1388.4900000000002,2021.9934729846289
1388.4900000000002,2148.797685990416
1388.4900000000002,8134.368969123795
2422.275,5372.806332624552
2422.275,1676.3074246692654
2422.275,1994.5209079104752
2422.275,6011.34996848765
1443.025,9755.44618706162
1443.025,2004.2755704300755
1443.025,2094.750695374152
1443.025,7134.102226398293
1375.1775,5548.781612431313
1375.1775,2491.1120792934435
1375.1775,2126.243907151548
1375.1775,11248.067533118812
821.635,5138.224692145862
821.635,1978.6753076718771
821.635,1765.649314073978
821.635,9999.034899287071
1006.7250000000001,5824.741548450215
1006.7250000000001,2222.1281494672885
1006.7250000000001,2239.991404192987
1006.7250000000001,9623.841357421006
1374.1025,8871.816245896569
1374.1025,1996.419911360092
1374.1025,2136.4817269175173
1374.1025,8300.723090636571
2164.39,5316.112296789452
2164.39,1710.6951749369512
2164.39,2051.2023334356536
2164.39,5957.548772481652
1527.9525,10035.87206185293
1527.9525,2041.244755284208
1527.9525,2082.979153572873
1527.9525,7042.381767638048
1156.9275,5496.462329614528
1156.9275,2447.8723060864536
1156.9275,2112.3158738522843
1156.9275,11597.10591840253
893.1975,5007.89379951832
893.1975,1950.7314016284888
893.1975,1737.6633191577516
893.1975,9999.031219725615
1017.1625,5737.54254357534
1017.1625,2198.2724020550845
1017.1625,2217.5022976977166
1017.1625,9776.393061052151
1247.605,8917.785347794825
1247.605,1966.288666294156
1247.605,2051.501899502904
1247.605,7718.392129140852
2092.7574999999997,5249.055026863132
2092.7574999999997,1706.6049362975211
2092.7574999999997,2068.072369473813
2092.7574999999997,6426.24962255514
1355.4424999999999,9878.538439337795
1355.4424999999999,2008.6539025531292
1355.4424999999999,2001.0314696117848
1355.4424999999999,7702.305064245302
1404.1975,5448.389112440078
1404.1975,2406.1328380610626
1404.1975,2057.137994478174
1404.1975,11978.080706261691
1039.96,4881.513297398026
1039.96,1921.532759471805
1039.96,1653.332638987136
1039.96,9999.811764705884
1810.535,5658.446138688568
1810.535,2158.044954172921
1810.535,2060.9526895912977
1810.535,9930.796670072516
1109.7275,8976.136467818686
1109.7275,1897.2498888365128
1109.7275,1920.6657800172825
