Region,Crop,Year,Yield_kg_per_ha,seq_months,temp_m1,rain_m1,hum_m1,temp_m2,rain_m2,hum_m2,temp_m3,rain_m3,hum_m3,temp_m4,rain_m4,hum_m4,temp_m5,rain_m5,hum_m5,temp_m6,rain_m6,hum_m6,temp_m7,rain_m7,hum_m7,temp_m8,rain_m8,hum_m8,temp_m9,rain_m9,hum_m9,temp_m10,rain_m10,hum_m10,temp_m11,rain_m11,hum_m11,temp_m12,rain_m12,hum_m12
South East,Yams,2006,12374.058380414313,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.637,72.7,83.16,25.637,149.8,84.46000000000001,25.637,288.0,85.53999999999999,25.637,363.2,86.22,25.637,886.3,88.52000000000001,25.637,683.1,88.67999999999999,25.637,896.5,89.42,25.637,2771.7,89.28,25.637,1568.3,91.28,25.637,609.3,90.28,25.637,165.60000000000002,78.96000000000001,25.637,0.6,68.05999999999999
South East,Yams,2007,12409.56878118318,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.190333333333335,0.4,66.58,25.190333333333335,209.0,77.7,25.190333333333335,217.4,82.08,25.190333333333335,712.0,86.7,25.190333333333335,601.7,88.32000000000001,25.190333333333335,2012.6,90.47999999999999,25.190333333333335,1318.8,90.02000000000001,25.190333333333335,2366.0,90.9,25.190333333333335,2210.9,91.46000000000001,25.190333333333335,1403.4,91.25999999999999,25.190333333333335,644.9,87.86,25.190333333333335,222.7,78.06
South East,Yams,2008,12042.68979953305,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.274333333333335,21.8,72.06,25.274333333333335,44.8,65.47999999999999,25.274333333333335,323.79999999999995,86.16,25.274333333333335,559.6,87.02000000000001,25.274333333333335,532.1,87.4,25.274333333333335,802.7,89.34,25.274333333333335,879.8,88.6,25.274333333333335,957.2,89.6,25.274333333333335,1656.0,89.76,25.274333333333335,703.9,89.03999999999999,25.274333333333335,81.6,83.32000000000001,25.274333333333335,70.9,78.5
South East,Yams,2009,13050.167862047918,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.720833333333335,186.2,80.16,25.720833333333335,71.5,83.24,25.720833333333335,331.90000000000003,85.06,25.720833333333335,548.6,87.52000000000001,25.720833333333335,982.7,88.8,25.720833333333335,954.4000000000001,89.56,25.720833333333335,741.0,89.46000000000001,25.720833333333335,1091.4,90.22,25.720833333333335,683.0999999999999,89.76,25.720833333333335,1069.6,89.78,25.720833333333335,561.9,82.46000000000001,25.720833333333335,1.1,70.7
South East,Yams,2010,22414.36480895595,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.829166666666666,121.8,72.84,25.829166666666666,137.1,81.78,25.829166666666666,251.9,82.96000000000001,25.829166666666666,721.8,86.58,25.829166666666666,983.6,88.34,25.829166666666666,1021.6,89.53999999999999,25.829166666666666,1047.8,89.28,25.829166666666666,1181.4,89.64,25.829166666666666,2019.0,90.17999999999999,25.829166666666666,1111.9,90.97999999999999,25.829166666666666,452.7,87.38,25.829166666666666,158.6,73.76
South East,Yams,2011,11716.667457868502,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.272333333333332,12.7,67.58,25.272333333333332,273.0,84.6,25.272333333333332,174.6,84.64000000000001,25.272333333333332,374.5,87.06,25.272333333333332,1036.0,89.6,25.272333333333332,967.9,90.24000000000001,25.272333333333332,1216.7,89.94,25.272333333333332,1520.7,90.12,25.272333333333332,1296.4,90.6,25.272333333333332,1357.6,90.78,25.272333333333332,185.60000000000002,82.9,25.272333333333332,3.5,69.52000000000001
South East,Yams,2012,11640.852441496801,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.302666666666667,17.0,72.12,25.302666666666667,175.70000000000002,84.32000000000001,25.302666666666667,206.5,84.22,25.302666666666667,730.6,87.32000000000001,25.302666666666667,711.5,88.58,25.302666666666667,1209.7,89.38,25.302666666666667,857.5,89.47999999999999,25.302666666666667,1180.3,88.88,25.302666666666667,1317.8,89.97999999999999,25.302666666666667,1215.0,90.86,25.302666666666667,456.8,87.62,25.302666666666667,93.8,76.46000000000001
South East,Yams,2013,13005.758311430349,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.485500000000002,86.4,76.47999999999999,25.485500000000002,171.1,81.56,25.485500000000002,414.8,86.25999999999999,25.485500000000002,422.4,86.62,25.485500000000002,1082.0,88.92,25.485500000000002,995.4,89.9,25.485500000000002,913.8,89.78,25.485500000000002,1107.1,88.84,25.485500000000002,1349.3,90.53999999999999,25.485500000000002,1272.4,89.46000000000001,25.485500000000002,655.2,87.92,25.485500000000002,332.9,81.28
South East,Yams,2014,8896.521226415094,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.781833333333335,89.1,75.1,25.781833333333335,127.4,78.84,25.781833333333335,216.8,86.2,25.781833333333335,541.8,87.46000000000001,25.781833333333335,641.4,87.78,25.781833333333335,541.4,88.7,25.781833333333335,651.5,88.16,25.781833333333335,918.1,88.44000000000001,25.781833333333335,903.2,88.8,25.781833333333335,670.8,88.66,25.781833333333335,226.7,85.02000000000001,25.781833333333335,1.7,71.82000000000001
South East,Yams,2015,8257.076439217832,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.542333333333332,6.9,67.52000000000001,25.542333333333332,116.30000000000001,83.72,25.542333333333332,512.9,83.76,25.542333333333332,249.6,84.38,25.542333333333332,541.7,87.78,25.542333333333332,899.7,89.44,25.542333333333332,975.4,88.82000000000001,25.542333333333332,586.2,88.82000000000001,25.542333333333332,1159.3,89.88,25.542333333333332,925.4000000000001,89.97999999999999,25.542333333333332,485.8,83.0,25.542333333333332,1.5,63.6
South East,Yams,2016,8347.798908000508,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.958666666666666,30.4,61.54,25.958666666666666,24.9,69.96000000000001,25.958666666666666,616.4,84.66,25.958666666666666,407.4,85.78,25.958666666666666,804.8,87.86,25.958666666666666,890.3,88.38,25.958666666666666,1161.8,89.66,25.958666666666666,1713.6,90.17999999999999,25.958666666666666,1447.8,90.7,25.958666666666666,1304.7,89.3,25.958666666666666,273.5,84.41999999999999,25.958666666666666,57.4,76.6
South East,Yams,2017,8287.033000360141,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.875833333333333,33.6,77.3,25.875833333333333,19.4,72.72,25.875833333333333,461.2,85.44,25.875833333333333,713.5999999999999,86.46000000000001,25.875833333333333,872.1,88.2,25.875833333333333,1352.1,89.16,25.875833333333333,2068.0,89.74,25.875833333333333,1262.1,90.76,25.875833333333333,1518.8,90.76,25.875833333333333,1085.8,89.52000000000001,25.875833333333333,185.6,83.52000000000001,25.875833333333333,20.2,75.8
South East,Yams,2018,8503.732454833791,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.710166666666666,2.3,62.42,25.710166666666666,409.7,81.62,25.710166666666666,382.8,85.64,25.710166666666666,264.2,86.46000000000001,25.710166666666666,574.1,87.55999999999999,25.710166666666666,2070.6,89.86,25.710166666666666,1637.1,90.08,25.710166666666666,1214.6,89.86,25.710166666666666,1279.5,90.16,25.710166666666666,906.5,89.9,25.710166666666666,524.6,84.92,25.710166666666666,2.3,70.36
