Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_MtCO2,Soil_Moisture_Annual_Mean,Soil_Moisture_GrowSeason,Soil_Moisture_DrySeason,Yield_kg_per_ha,Soil_Moisture_m3m3,GDD,Cumulative_Rainfall,Days_Into_Season,SoilMoisture_Temp_Interaction,SoilMoisture_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Soil_Moisture_Anomaly,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Soil_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North West,Yams,2002,5,27.926785714285714,348.76875,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.1209569639175257,537.8035714285714,1457.3765366051414,30,3.3779392119753293,42.18600910931054,1,1,0,0,-0.2545188722172337,0,0,-1.8734998121554403,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,6,26.426785714285714,465.02500000000003,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.1967741717171717,492.80357142857144,1922.4015366051415,60,5.200108870075757,91.50490920277778,1,1,0,0,-0.2545188722211148,0,0,-0.8678215328082829,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,7,24.926785714285714,581.28125,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.2421296146341463,447.80357142857144,2503.6827866051417,90,6.035513019067944,140.74540505655486,1,1,0,0,-0.25451887222344366,0,0,-1.207637177849027,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,8,23.828709502932398,666.3867316974292,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.2737034705882353,414.86128508797196,3170.069518302571,120,6.52200049059146,182.39236121953758,1,0,0,0,-0.25451887222463376,0,0,-1.6979112623126826,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,9,23.426785714285714,697.5375,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,1688.6688668866889,0.2664586165803109,402.80357142857144,3867.607018302571,150,6.242268912351961,185.86487726288863,1,0,0,0,-0.25451887222499614,0,0,-0.2837294775690859,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,10,23.828709502932398,666.3867316974294,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.2257091534653465,0.0,4533.99375,180,5.37835785007853,150.40958509196577,0,0,0,0,-0.2545188722246334,0,0,1.2120444889092101,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,11,24.926785714285714,581.28125,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.1481017352941176,0.0,5115.275,210,3.691700219590335,86.0887618189338,0,0,0,0,-0.25451887222344366,0,0,1.338062913660591,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2002,12,26.426785714285714,465.02500000000003,46.304761904761904,89.906,0.15976180193811104,0.19980698601484584,0.11971661786137622,0.0,0.1042879130434782,0.0,5580.3,240,2.7559943305900605,48.49648676304346,0,0,0,0,-0.2545188722211148,0,0,0.9487383517942224,10591.581342434585,10113.186813186812,0.0,10278.92711898051,26.195992063492067,5708.133333333334,0.16030888421497716,-459.5681411144524,0.46833333333333016,41.30000000000018,270.9300754905029
North West,Yams,2003,1,28.054523809523808,353.00625,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.0821162395833333,0.0,353.00625,0,2.3037319985391855,28.987545799414054,0,0,0,0,-0.22867145856985904,0,0,-0.858950335341046,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,2,29.152600020877124,266.86674653687965,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.0764297065868263,0.0,619.8729965368797,0,2.228124665838745,20.396547135594655,0,0,0,0,-0.2286714585653573,0,0,-1.4881152527479933,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,3,29.554523809523808,235.3375,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,0.0,0.0755065132275132,0.0,855.2104965368796,0,2.2315590429566634,17.76951405667989,0,0,0,0,-0.22867145856288498,0,0,-0.7083886271045992,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,4,29.152600020877124,266.8667465368797,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.1173274973821989,574.5780006263137,1122.0772430737593,0,3.4204016026337523,31.31080750570169,1,0,0,0,-0.22867145856535684,0,0,2.0002472993382976,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,5,28.054523809523808,353.00625,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.1316966859903381,541.6357142857142,1475.0834930737594,30,3.6946878127513205,46.48975325887679,1,1,0,0,-0.22867145856985904,0,0,-1.1262529761934859,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
North West,Yams,2003,6,26.554523809523808,470.675,46.60952380952381,100.03,0.1653168530298369,0.21533605246796128,0.11529765359171251,1688.6688668866889,0.2145424639175257,496.63571428571424,1945.7584930737594,60,5.697072966251839,100.97977420438141,1,1,0,0,-0.22867145857334614,0,0,0.5507563640543046,10132.013201320133,10591.581342434585,10113.186813186812,10285.202581691618,26.31325396825397,5589.133333333334,0.16297982555566837,0.0,0.12773809523809732,67.80000000000018,265.3317899834048
